Statistikdatum,Region,Cases
2020-07-08,Gävleborg,51
2020-07-09,Gävleborg,25
2020-07-10,Gävleborg,33
2020-07-11,Gävleborg,86
2020-07-12,Gävleborg,6
2020-07-13,Gävleborg,21
2020-07-14,Gävleborg,8
2020-07-15,Gävleborg,20
2020-07-16,Gävleborg,10
2020-07-17,Gävleborg,10
2020-07-18,Gävleborg,15
2020-07-19,Gävleborg,6
2020-07-20,Gävleborg,1
2020-07-21,Gävleborg,13
2020-07-22,Gävleborg,11
2020-07-23,Gävleborg,23
2020-07-24,Gävleborg,9
2020-07-25,Gävleborg,7
2020-07-26,Gävleborg,0
